Evaluation Data,,,,,,,,
Evaluation Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Response 1
7072,6,1,6,5,3,8,1,1556.786377
5279,5,8,7,7,3,8,1,1556.93811
7709,7,6,7,7,3,8,1,1556.938232
9998,8,4,8,7,3,8,1,1556.940796
5994,5,3,1,8,3,8,1,1557.013916
6994,6,3,3,8,3,8,1,1557.016479
4069,4,6,4,8,3,8,1,1557.017822
9074,8,3,6,8,3,8,1,1557.021606
3255,3,8,3,1,1,8,4,1563.205811
175,1,8,4,1,1,8,4,1563.207275
1330,2,3,5,1,1,8,4,1563.209473
8260,7,2,6,1,1,8,4,1563.211182
8820,8,2,1,2,1,8,4,1563.25061
6895,6,8,4,2,1,8,4,1563.254028
9261,8,6,1,3,1,8,4,1563.300049
4816,4,1,4,3,1,8,4,1563.304565
2891,3,7,6,3,1,8,4,1563.307617
7182,6,4,1,4,1,8,4,1563.35376
252,1,2,1,4,1,8,4,1563.353882
5257,5,5,4,4,1,8,4,1563.357788
1253,2,6,6,5,1,8,4,1563.418701
6258,6,3,2,6,1,8,4,1563.474121
8183,7,8,6,6,1,8,4,1563.480225
9184,8,1,4,7,1,8,4,1563.543823
2254,2,4,5,7,1,8,4,1563.545532
9898,8,3,5,7,1,8,4,1563.545532
329,1,5,7,7,1,8,4,1563.549805
7259,6,7,8,7,1,8,4,1563.552246
5894,5,4,8,8,1,8,4,1563.625122
5685,5,6,3,1,2,8,3,1564.388184
5125,5,6,5,1,2,8,3,1564.391113
120,1,1,2,2,2,8,3,1564.436646
6126,5,4,3,2,2,8,3,1564.437744
8051,7,7,7,2,2,8,3,1564.444214
9766,8,4,4,3,2,8,3,1564.492065
6412,6,2,4,4,2,8,3,1564.54895
3046,3,4,5,4,2,8,3,1564.550537
2122,2,3,5,5,2,8,3,1564.611816
8688,7,1,2,6,2,8,3,1564.67334
3123,3,7,1,7,2,8,3,1564.74353
5334,5,4,3,7,2,8,3,1564.74646
4684,4,2,5,7,2,8,3,1564.749756
2759,3,8,7,7,2,8,3,1564.753662
5048,5,1,8,7,2,8,3,1564.75647
1044,1,2,1,8,2,8,3,1564.822266
6049,5,5,3,8,2,8,3,1564.824707
4124,4,2,7,8,2,8,3,1564.832275
8920,8,1,4,2,3,8,2,1569.403198
2991,3,8,2,3,3,8,2,1569.455688
9921,8,5,2,3,3,8,2,1569.456177
4916,4,2,6,3,3,8,2,1569.462402
9206,8,4,8,3,3,8,2,1569.466553
9557,8,6,8,4,3,8,2,1569.526978
5553,5,5,1,5,3,8,2,1569.5802
8128,7,1,3,5,3,8,2,1569.582886
3992,4,1,7,5,3,8,2,1569.589966
6918,6,4,2,6,3,8,2,1569.651978
1913,2,5,7,6,3,8,2,1569.660522
2199,2,8,2,8,3,8,2,1569.812622
2914,3,3,6,8,3,8,2,1569.81958
7919,7,8,8,8,3,8,2,1569.824219
989,1,6,8,8,3,8,2,1569.824463
910,1,4,4,1,1,7,1,1574.905273
7280,6,1,8,1,1,7,1,1574.912842
7840,7,1,4,2,1,7,1,1574.955688
5915,5,7,6,2,1,7,1,1574.95874
1911,2,8,2,3,1,7,1,1575.005859
8281,7,5,4,3,1,7,1,1575.009277
196,1,2,5,4,1,7,1,1575.068848
4277,4,6,6,4,1,7,1,1575.070435
7917,7,6,3,5,1,7,1,1575.127075
8918,8,4,8,6,1,7,1,1575.204102
273,1,5,1,7,1,7,1,1575.263306
4914,4,3,1,8,1,7,1,1575.342041
9919,8,8,4,8,1,7,1,1575.345703
1274,2,3,7,8,1,7,1,1575.352417
6839,6,8,8,8,1,7,1,1575.35498
5785,5,5,5,1,4,8,1,1578.276733
8710,7,4,5,1,4,8,1,1578.276733
9425,8,5,6,1,4,8,1,1578.27832
2705,3,5,7,1,4,8,1,1578.280273
6995,6,7,6,2,4,8,1,1578.332886
1066,1,3,4,3,4,8,1,1578.388916
1781,2,6,8,3,4,8,1,1578.39624
6071,5,8,8,4,4,8,1,1578.459839
2627,3,7,8,4,4,8,1,1578.459961
703,1,8,3,5,4,8,1,1578.519409
8347,7,7,4,5,4,8,1,1578.520996
9712,8,1,4,5,4,8,1,1578.521362
3783,4,8,2,6,4,8,1,1578.593018
2418,2,3,3,6,4,8,1,1578.594971
8788,8,2,4,6,4,8,1,1578.596436
3068,3,2,8,6,4,8,1,1578.604492
8073,7,5,1,7,4,8,1,1578.674316
4993,4,5,6,7,4,8,1,1578.682007
9535,8,8,4,1,2,8,4,1580.154541
8975,8,8,6,1,2,8,4,1580.157959
890,1,3,8,1,2,8,4,1580.162476
7610,7,3,8,1,2,8,4,1580.162476
3970,4,3,3,2,2,8,4,1580.202393
9976,8,1,4,2,2,8,4,1580.203735
4256,4,1,8,2,2,8,4,1580.211182
1891,2,7,3,3,2,8,4,1580.253906
3606,3,4,3,3,2,8,4,1580.254272
1681,2,5,5,3,2,8,4,1580.257202
4971,4,7,2,4,2,8,4,1580.308228
2892,3,2,2,5,2,8,4,1580.368774
4047,4,8,3,5,2,8,4,1580.369385
603,1,7,1,6,2,8,4,1580.431885
1968,2,1,3,6,2,8,4,1580.434937
3893,4,6,7,6,2,8,4,1580.442017
6973,6,6,5,7,2,8,4,1580.508301
7974,7,4,1,8,2,8,4,1580.579468
2969,3,5,8,8,2,8,4,1580.592163
2100,2,2,2,1,1,8,5,1580.911255
7105,6,5,4,1,1,8,5,1580.913696
5180,5,2,8,1,1,8,5,1580.921143
1176,1,1,3,2,1,8,5,1580.958252
3101,3,6,7,2,1,8,5,1580.964722
6741,6,6,1,3,1,8,5,1581.004028
21,1,6,2,3,1,8,5,1581.005371
8106,7,3,2,3,1,8,5,1581.005615
6181,5,6,6,3,1,8,5,1581.011719
812,1,2,6,4,1,8,5,1581.064209
4102,4,4,6,4,1,8,5,1581.064209
2177,2,5,8,4,1,8,5,1581.068604
7742,7,4,7,5,1,8,5,1581.122437
5103,5,8,1,6,1,8,5,1581.172607
3738,3,3,2,6,1,8,5,1581.174438
1813,2,6,4,6,1,8,5,1581.177124
4179,4,7,2,7,1,8,5,1581.239502
6104,5,1,6,7,1,8,5,1581.24646
98,1,3,8,7,1,8,5,1581.251221
1099,1,7,4,8,1,8,5,1581.313599
7050,6,3,1,1,3,8,3,1583.446899
2760,3,1,2,1,3,8,3,1583.448242
835,1,7,6,1,3,8,3,1583.453491
4475,4,7,6,1,3,8,3,1583.453491
2045,2,6,6,2,3,8,3,1583.505005
5840,5,1,8,2,3,8,3,1583.509277
1836,2,2,1,3,3,8,3,1583.553101
471,1,8,2,4,3,8,3,1583.612793
4762,4,3,4,4,3,8,3,1583.616089
9052,8,2,5,4,3,8,3,1583.617676
1121,1,5,7,4,3,8,3,1583.621582
7842,7,3,2,5,3,8,3,1583.677246
9767,8,8,7,5,3,8,3,1583.685303
3838,4,4,4,6,3,8,3,1583.749512
43,1,7,5,6,3,8,3,1583.750977
758,1,4,6,6,3,8,3,1583.753052
8843,8,7,7,6,3,8,3,1583.755005
6764,6,2,7,8,3,8,3,1583.913696
9765,8,6,1,1,1,7,2,1588.16333
6125,5,6,7,1,1,7,2,1588.172974
4760,4,1,8,1,1,7,2,1588.175293
3045,3,6,2,2,1,7,2,1588.214233
5761,5,5,4,3,1,7,2,1588.270142
3836,4,2,6,3,1,7,2,1588.273804
6762,6,3,2,4,1,7,2,1588.324097
2121,2,5,3,4,1,7,2,1588.325317
6202,5,3,4,4,1,7,2,1588.327026
1757,2,6,6,4,1,7,2,1588.330444
42,1,3,3,5,1,7,2,1588.386353
4837,4,6,4,5,1,7,2,1588.387695
9128,8,1,6,5,1,7,2,1588.391602
7203,6,7,2,6,1,7,2,1588.450195
2758,3,4,4,6,1,7,2,1588.453491
833,1,5,7,6,1,7,2,1588.459595
1043,1,7,8,6,1,7,2,1588.462036
4123,4,7,4,7,1,7,2,1588.524292
5124,5,2,2,8,1,7,2,1588.598877
3199,3,8,4,8,1,7,2,1588.60144
7710,7,4,3,1,4,8,2,1590.933228
3915,4,7,1,2,4,8,2,1590.984253
2551,3,8,4,2,4,8,2,1590.987915
1990,2,4,4,2,4,8,2,1590.988525
8556,7,2,3,3,4,8,2,1591.045166
9271,8,8,4,3,4,8,2,1591.045898
1186,1,3,6,3,4,8,2,1591.049805
4707,4,7,1,4,4,8,2,1591.104858
912,1,1,2,4,4,8,2,1591.106567
3552,3,1,3,4,4,8,2,1591.10791
1627,2,7,5,4,4,8,2,1591.110474
6632,6,1,8,4,4,8,2,1591.116699
5917,5,6,4,5,4,8,2,1591.17688
8634,7,3,2,7,4,8,2,1591.329102
3629,3,6,6,7,4,8,2,1591.335449
549,1,6,1,8,4,8,2,1591.416748
1549,2,6,4,8,4,8,2,1591.420776
2264,2,1,8,8,4,8,2,1591.429321
6630,6,4,3,1,2,7,1,1593.001465
3550,3,4,5,1,2,7,1,1593.004517
9205,8,6,6,1,2,7,1,1593.005981
1625,2,5,7,1,2,7,1,1593.008179
3276,3,2,1,2,2,7,1,1593.05127
7995,7,7,2,2,2,7,1,1593.051758
4915,4,7,3,2,2,7,1,1593.053223
2626,3,3,5,2,2,7,1,1593.056763
911,1,8,6,3,2,7,1,1593.114014
9556,8,2,6,3,2,7,1,1593.11438
3627,3,7,1,4,2,7,1,1593.16626
8632,7,1,4,4,2,7,1,1593.170898
8996,8,2,7,4,2,7,1,1593.176514
547,1,7,5,5,2,7,1,1593.236938
9997,8,6,5,5,2,7,1,1593.236938
9842,8,3,7,5,2,7,1,1593.241211
9633,8,5,2,6,2,7,1,1593.302124
2913,3,5,3,6,2,7,1,1593.303589
988,1,2,5,6,2,7,1,1593.307129
3913,4,5,6,6,2,7,1,1593.30896
1548,2,2,1,7,2,7,1,1593.376953
2198,2,4,6,7,2,7,1,1593.384888
5993,5,5,8,7,2,7,1,1593.389771
1989,2,6,1,8,2,7,1,1593.459473
1450,2,3,4,1,2,8,5,1597.766357
5895,5,8,1,2,2,8,5,1597.809204
2815,3,8,5,2,2,8,5,1597.814941
7820,7,2,8,2,2,8,5,1597.821167
6896,6,1,6,3,2,8,5,1597.868042
8457,7,5,2,4,2,8,5,1597.916382
8821,8,6,4,4,2,8,5,1597.919067
6532,6,2,6,4,2,8,5,1597.922729
9107,8,7,8,4,2,8,5,1597.927002
9822,8,4,2,5,2,8,5,1597.97522
3178,3,3,4,5,2,8,5,1597.978149
7897,7,5,5,5,2,8,5,1597.979614
4817,4,5,6,5,2,8,5,1597.981567
1022,1,4,7,5,2,8,5,1597.983765
2528,3,1,8,5,2,8,5,1597.986206
813,1,6,1,6,2,8,5,1598.037354
8898,8,3,3,7,2,8,5,1598.109009
6819,6,7,3,8,2,8,5,1598.184082
1814,2,4,7,8,2,8,5,1598.191772
9899,8,7,8,8,2,8,5,1598.194214
449,1,5,8,8,2,8,5,1598.194336
7765,7,6,6,1,3,8,4,1599.091675
7611,7,7,3,3,3,8,4,1599.191284
5686,5,4,5,3,3,8,4,1599.19458
2606,3,4,7,3,3,8,4,1599.198364
4321,4,5,3,4,3,8,4,1599.249634
1682,2,3,8,4,3,8,4,1599.258911
6687,6,8,1,5,3,8,4,1599.309448
967,1,8,5,5,3,8,4,1599.315308
5972,5,2,7,5,3,8,4,1599.31958
4608,4,1,1,6,3,8,4,1599.378296
3243,3,7,1,7,3,8,4,1599.452026
3684,3,2,2,7,3,8,4,1599.453613
6609,6,5,2,8,3,8,4,1599.53479
8689,7,5,5,8,3,8,4,1599.539307
5609,5,5,6,8,3,8,4,1599.54126
9030,8,4,2,1,1,8,6,1600.846191
5950,5,4,4,1,1,8,6,1600.848999
4585,4,5,5,1,1,8,6,1600.850464
4025,4,5,6,1,1,8,6,1600.852295
2660,3,2,7,1,1,8,6,1600.854248
945,1,5,1,2,1,8,6,1600.889771
5026,5,3,4,2,1,8,6,1600.893799
6027,5,7,2,4,1,8,6,1600.98938
1946,2,3,6,4,1,8,6,1600.996094
7952,7,1,7,4,1,8,6,1600.998047
9667,8,7,3,5,1,8,6,1601.04541
2947,3,7,4,5,1,8,6,1601.047119
7028,6,2,8,5,1,8,6,1601.055542
5663,5,8,7,6,1,8,6,1601.111938
3948,4,2,2,7,1,8,6,1601.16748
2023,2,8,6,7,1,8,6,1601.173706
3024,3,1,1,8,1,8,6,1601.235718
4949,4,6,8,8,1,8,6,1601.248169
9975,8,8,2,1,1,7,3,1602.745239
1680,2,1,3,1,1,7,3,1602.747559
8050,7,3,4,1,1,7,3,1602.748779
3605,3,6,7,1,1,7,3,1602.754028
4970,4,3,6,2,1,7,3,1602.801147
9611,8,7,8,3,1,7,3,1602.857422
4046,4,4,8,3,1,7,3,1602.857666
780,1,2,3,1,5,8,1,1602.875
5607,5,8,1,4,1,7,3,1602.900513
3682,3,3,4,4,1,7,3,1602.905518
602,1,3,8,4,1,7,3,1602.913696
7501,7,6,5,2,5,8,1,1602.933838
6972,6,2,2,5,1,7,3,1602.962402
1967,2,8,7,5,1,7,3,1602.970825
8687,7,8,7,5,1,7,3,1602.970825
6786,6,3,1,3,5,8,1,1602.989746
5421,5,6,2,3,5,8,1,1602.990601
6136,5,1,5,3,5,8,1,1602.994995
4421,4,6,7,3,5,8,1,1602.998413
8711,7,8,8,3,5,8,1,1603.000366
4683,4,7,2,6,1,7,3,1603.026489
2782,3,4,3,4,5,8,1,1603.058105
7787,7,7,6,4,5,8,1,1603.0625
7346,6,3,6,4,5,8,1,1603.062744
2604,3,2,2,7,1,7,3,1603.096802
7609,7,5,5,7,1,7,3,1603.101318
2968,3,1,6,7,1,7,3,1603.103516
5684,5,2,7,7,1,7,3,1603.105713
1417,2,5,5,5,5,8,1,1603.132813
3497,3,5,7,5,5,8,1,1603.136719
8974,8,4,4,8,1,7,3,1603.175537
1704,2,1,1,7,5,8,1,1603.292236
6423,6,8,3,7,5,8,1,1603.294189
4784,4,1,7,7,5,8,1,1603.301758
5499,5,7,1,8,5,8,1,1603.387207
339,1,7,3,8,5,8,1,1603.389771
9789,8,6,3,8,5,8,1,1603.389771
2419,2,7,6,8,5,8,1,1603.394897
494,1,4,8,8,5,8,1,1603.39978
8480,7,1,6,1,4,8,3,1604.887085
4476,4,2,2,2,4,8,3,1604.93457
7115,6,7,7,2,4,8,3,1604.941895
3111,3,8,2,3,4,8,3,1604.990967
6841,6,5,4,3,4,8,3,1604.994019
2396,2,2,7,3,4,8,3,1604.99939
7556,7,2,7,3,4,8,3,1604.99939
3761,4,5,8,3,4,8,3,1605.001465
9403,8,7,5,5,4,8,3,1605.124023
2837,3,6,6,5,4,8,3,1605.125977
9558,8,4,1,6,4,8,3,1605.191406
108,1,2,1,6,4,8,3,1605.19165
5763,5,7,2,6,4,8,3,1605.192383
8193,7,5,2,6,4,8,3,1605.192505
6478,6,4,6,6,4,8,3,1605.198975
7478,6,4,8,6,4,8,3,1605.203491
1473,2,5,3,7,4,8,3,1605.27356
1759,2,8,4,7,4,8,3,1605.274658
5554,5,3,4,7,4,8,3,1605.275146
3474,3,3,1,8,4,8,3,1605.358643
4839,4,8,3,8,4,8,3,1605.360718
9844,8,2,5,8,4,8,3,1605.364258
2474,2,3,8,8,4,8,3,1605.370972
2835,3,7,1,1,2,7,2,1606.150513
8555,7,7,7,1,2,7,2,1606.159912
1835,2,7,8,1,2,7,2,1606.162231
6840,6,1,1,2,2,7,2,1606.202515
1120,1,1,5,2,2,7,2,1606.208008
470,1,4,6,2,2,7,2,1606.209717
6476,6,2,8,2,2,7,2,1606.213989
4761,4,5,1,3,2,7,2,1606.25708
8127,7,8,1,4,2,7,2,1606.315552
7477,6,6,6,4,2,7,2,1606.32373
5762,5,3,6,4,2,7,2,1606.323975
5552,5,1,8,4,2,7,2,1606.328491
2472,2,1,3,5,2,7,2,1606.382568
8842,8,3,4,5,2,7,2,1606.383911
6917,6,6,7,5,2,7,2,1606.389648
7918,7,4,5,6,2,7,2,1606.454468
7554,7,3,2,7,2,7,2,1606.524414
679,1,8,4,7,2,7,2,1606.526978
9479,8,8,6,7,2,7,2,1606.530762
4474,4,3,4,8,2,7,2,1606.608887
5839,5,8,5,8,2,7,2,1606.610229
8764,8,2,5,8,2,7,2,1606.610596
9711,8,8,1,3,3,7,1,1613.235474
5266,5,3,3,3,3,7,1,1613.23877
3341,3,6,7,3,3,7,1,1613.245483
8346,7,3,1,4,3,7,1,1613.298462
5707,5,7,4,4,3,7,1,1613.302246
4992,4,1,3,5,3,7,1,1613.36853
2263,2,8,5,6,3,7,1,1613.444214
8633,7,5,7,6,3,7,1,1613.44873
4629,4,6,2,7,3,7,1,1613.519409
5629,5,6,4,7,3,7,1,1613.522461
2704,3,1,4,7,3,7,1,1613.522705
9634,8,3,5,7,3,7,1,1613.524292
6344,6,1,8,8,3,7,1,1613.618408
3914,4,3,8,8,3,7,1,1613.61853
4630,4,4,4,1,5,8,2,1615.369263
1550,2,4,6,1,5,8,2,1615.372314
3265,3,5,6,1,5,8,2,1615.372314
3980,4,2,6,1,5,8,2,1615.372314
9635,8,7,8,1,5,8,2,1615.375854
9426,8,3,2,2,5,8,2,1615.422363
5631,5,8,3,2,5,8,2,1615.422974
7270,6,4,5,2,5,8,2,1615.426392
626,1,3,7,2,5,8,2,1615.429932
5345,5,5,8,2,5,8,2,1615.431885
3706,3,3,5,3,5,8,2,1615.486572
2902,3,4,5,4,5,8,2,1615.551636
2628,3,2,1,5,5,8,2,1615.617188
5058,5,3,1,6,5,8,2,1615.69458
7633,7,5,4,6,5,8,2,1615.698242
6268,6,2,4,6,5,8,2,1615.698486
3343,3,8,5,6,5,8,2,1615.699585
5708,5,2,6,6,5,8,2,1615.701904
6709,6,6,5,7,5,8,2,1615.784912
8348,7,2,7,7,5,8,2,1615.789063
4343,4,8,8,7,5,8,2,1615.791382
8535,7,8,2,1,3,8,5,1616.575562
3530,3,3,7,1,3,8,5,1616.583862
4740,4,2,3,2,3,8,5,1616.626953
2165,2,6,7,2,3,8,5,1616.633301
3816,4,1,1,3,3,8,5,1616.67749
4531,4,7,5,3,3,8,5,1616.682495
5531,5,7,7,3,3,8,5,1616.686279
7457,6,5,7,4,3,8,5,1616.74353
9172,8,2,4,5,3,8,5,1616.799683
1528,2,1,5,5,3,8,5,1616.801392
4453,4,6,6,5,3,8,5,1616.803101
9613,8,6,3,6,3,8,5,1616.864746
5818,5,3,5,6,3,8,5,1616.868164
5168,5,1,6,6,3,8,5,1616.869995
6533,6,6,8,6,3,8,5,1616.874512
2529,3,5,1,7,3,8,5,1616.935059
604,1,2,4,7,3,8,5,1616.939331
4894,4,4,5,8,3,8,5,1617.020508
5300,5,2,8,1,2,8,6,1617.632935
6951,6,8,2,2,2,8,6,1617.668823
6665,6,5,7,2,2,8,6,1617.677246
1296,2,1,1,3,2,8,6,1617.71814
2661,3,6,3,3,2,8,6,1617.720215
736,1,1,5,3,2,8,6,1617.723511
7666,7,3,6,3,2,8,6,1617.72522
581,1,6,7,3,2,8,6,1617.727173
5741,5,6,8,3,2,8,6,1617.72937
1737,2,5,1,5,2,8,6,1617.828613
6378,6,3,3,5,2,8,6,1617.831177
6742,6,4,4,5,2,8,6,1617.832642
4663,4,8,4,6,2,8,6,1617.894287
9668,8,2,6,6,2,8,6,1617.898315
7743,7,8,2,7,2,8,6,1617.95874
1659,2,7,2,7,2,8,6,1617.958984
8029,7,6,3,7,2,8,6,1617.960449
7379,6,7,8,7,2,8,6,1617.970337
5664,5,1,2,8,2,8,6,1618.032715
3739,3,7,4,8,2,8,6,1618.035278
8744,7,1,8,8,2,8,6,1618.043945
7455,6,8,1,1,1,7,4,1618.886108
1890,2,3,1,1,1,7,4,1618.886963
525,1,6,2,1,1,7,4,1618.887939
5530,5,3,5,1,1,7,4,1618.892456
2450,2,3,6,1,1,7,4,1618.894287
3451,3,7,5,2,1,7,4,1618.940063
1526,2,4,7,2,1,7,4,1618.944214
7896,7,1,2,3,1,7,4,1618.987061
6531,6,7,3,3,1,7,4,1618.987915
8456,7,1,7,3,1,7,4,1618.995361
2527,3,8,5,4,1,7,4,1619.045776
9821,8,6,6,4,1,7,4,1619.047974
5817,5,5,2,5,1,7,4,1619.10022
3892,4,2,4,5,1,7,4,1619.103394
8897,8,5,7,5,1,7,4,1619.109009
8533,7,6,3,6,1,7,4,1619.164795
6818,6,3,7,6,1,7,4,1619.172607
9534,8,4,2,7,1,7,4,1619.232056
6454,6,4,3,7,1,7,4,1619.233521
4529,4,5,7,7,1,7,4,1619.241089
7819,7,7,5,8,1,7,4,1619.311035
889,1,5,6,8,1,7,4,1619.313354
8325,7,6,1,1,4,8,4,1620.365967
5400,5,1,1,1,4,8,4,1620.366455
6400,6,1,3,1,4,8,4,1620.368652
6610,6,3,5,1,4,8,4,1620.371338
4685,4,6,7,1,4,8,4,1620.374634
7325,6,6,8,1,4,8,4,1620.376709
9690,8,3,3,2,4,8,4,1620.420654
240,1,1,3,2,4,8,4,1620.420776
9040,8,1,5,2,4,8,4,1620.423462
395,1,7,8,2,4,8,4,1620.428955
8766,8,4,1,3,4,8,4,1620.474243
681,1,5,2,3,4,8,4,1620.475464
1396,2,2,4,3,4,8,4,1620.478271
9327,8,8,2,4,4,8,4,1620.5354
7402,6,3,4,4,4,8,4,1620.538696
3607,3,8,5,4,4,8,4,1620.539795
6037,5,6,5,4,4,8,4,1620.540161
5322,5,3,2,5,4,8,4,1620.601685
8403,7,7,3,5,4,8,4,1620.602539
7962,7,3,3,5,4,8,4,1620.602905
4320,4,1,1,2,2,7,3,1620.67334
2683,3,7,3,6,4,8,4,1620.674194
8401,7,5,4,2,2,7,3,1620.677002
1318,2,4,5,6,4,8,4,1620.67749
7688,7,1,7,6,4,8,4,1620.681396
7686,7,4,1,3,2,7,3,1620.727173
316,1,2,4,3,2,7,3,1620.731445
6686,6,4,8,3,2,7,3,1620.739136
4959,4,8,1,7,4,8,4,1620.749512
3398,3,4,8,7,4,8,4,1620.762207
757,1,6,3,4,2,7,3,1620.78772
5971,5,7,4,4,2,7,3,1620.789063
5321,5,5,6,4,2,7,3,1620.792847
6324,6,2,2,8,4,8,4,1620.83728
6322,6,3,4,5,2,7,3,1620.851929
3683,3,7,6,6,2,7,3,1620.922974
6608,6,1,7,6,2,7,3,1620.925415
7323,6,7,2,7,2,7,3,1620.989624
5398,5,4,6,7,2,7,3,1620.996582
6399,6,8,1,8,2,7,3,1621.068237
7764,7,2,3,8,2,7,3,1621.071411
7049,6,5,6,8,2,7,3,1621.07666
9689,8,5,7,8,2,7,3,1621.078979
1394,2,3,8,8,2,7,3,1621.081787
